LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,4,45,15,40.3980,42.9680,43.2080,1.6996,40.3582,42.9663,43.2052,1.6978
16,32,3,45,15,39.6783,42.3063,42.5480,1.7025,39.6906,42.3052,42.5479,1.7046
16,32,2,45,15,37.2496,39.8968,40.1402,1.7085,37.2920,39.9003,40.1442,1.7059
16,64,4,45,15,40.1210,42.7055,42.9507,1.7060,40.0006,42.7055,42.9499,1.7063
16,64,3,45,15,39.5431,42.1245,42.3657,1.7027,39.4256,42.1248,42.3642,1.7057
16,64,2,45,15,37.2072,39.8917,40.1344,1.7092,37.2642,39.8917,40.1332,1.7095
16,128,4,45,15,39.4195,42.1776,42.4332,1.7166,39.4981,42.1786,42.4354,1.7137
16,128,3,45,15,39.2756,41.8856,42.1272,1.7040,39.2797,41.8855,42.1268,1.7040
16,128,2,45,15,37.3043,39.8803,40.1225,1.7074,37.2717,39.8810,40.1237,1.7092
16,256,4,45,15,39.1233,41.7858,42.0264,1.7056,39.1186,41.7861,42.0270,1.7027
16,256,3,45,15,39.0809,41.6366,41.8757,1.7002,39.0645,41.6377,41.8759,1.7035
16,256,2,45,15,37.2368,39.8564,40.1008,1.7056,37.2301,39.8553,40.0988,1.7063
16,512,4,45,15,38.6451,41.2821,41.5176,1.6979,38.6776,41.2836,41.5189,1.6997
16,512,3,45,15,38.4572,41.2409,41.4960,1.7146,38.5262,41.2404,41.4964,1.7182
16,512,2,45,15,37.1746,39.8001,40.0431,1.7045,37.1491,39.7991,40.0424,1.7065
16,1024,4,45,15,38.1063,40.7601,41.0113,1.7112,37.9705,40.7594,41.0104,1.7102
16,1024,3,45,15,38.0931,40.6867,40.9275,1.7050,38.0594,40.6857,40.9249,1.7021
16,1024,2,45,15,37.1007,39.7267,39.9687,1.7095,37.0151,39.7277,39.9701,1.7070
16,2048,4,45,15,37.6558,40.2928,40.5272,1.7006,37.7429,40.2911,40.5270,1.7016
16,2048,3,45,15,37.6482,40.2471,40.4943,1.7108,37.6108,40.2460,40.4924,1.7088
16,2048,2,45,15,36.8550,39.5795,39.8232,1.7089,36.8770,39.5788,39.8225,1.7081
16,4096,4,45,15,37.0740,39.7758,40.0445,1.7292,37.0751,39.7751,40.0428,1.7299
16,4096,3,45,15,37.0583,39.7988,40.0317,1.7008,37.2058,39.7979,40.0311,1.6973
16,4096,2,45,15,36.7671,39.3826,39.6279,1.7083,36.7324,39.3818,39.6260,1.7109
16,8192,4,45,15,36.7622,39.4031,39.6434,1.7073,36.8144,39.4029,39.6438,1.7077
16,8192,3,45,15,36.7447,39.3752,39.6274,1.7124,36.6949,39.3735,39.6250,1.7127
16,8192,2,45,15,36.4004,39.0690,39.3093,1.7082,36.3894,39.0696,39.3115,1.7073
16,16384,4,45,15,36.1622,38.8474,39.0839,1.7032,36.2478,38.8491,39.0849,1.7007
16,16384,3,45,15,36.2652,38.8629,39.0993,1.7009,36.2962,38.8653,39.1002,1.7023
16,16384,2,45,15,36.1454,38.7037,38.9434,1.7058,36.1192,38.7023,38.9417,1.7053
16,32768,4,45,15,35.6789,38.3206,38.5709,1.7121,35.6498,38.3229,38.5739,1.7136
16,32768,3,45,15,35.7883,38.4032,38.6561,1.7157,35.7795,38.4039,38.6570,1.7177
16,32768,2,45,15,35.6128,38.2159,38.4495,1.7007,35.5823,38.2181,38.4504,1.7013
