LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,4,45,14,33.0174,35.6235,35.8656,1.7301,33.0404,35.6267,35.8681,1.7323
16,32,3,45,14,33.1177,35.6318,35.8759,1.7356,33.0060,35.6301,35.8733,1.7309
16,32,2,45,14,33.0707,35.6317,35.8759,1.7322,33.1300,35.6342,35.8785,1.7316
16,64,4,45,14,33.0879,35.6207,35.8630,1.7299,33.0270,35.6189,35.8604,1.7334
16,64,3,45,14,33.0774,35.6269,35.8707,1.7325,32.9601,35.6261,35.8681,1.7263
16,64,2,45,14,32.9059,35.6318,35.8733,1.7282,33.0882,35.6305,35.8733,1.7326
16,128,4,45,14,32.9749,35.6052,35.8452,1.7342,33.0053,35.6083,35.8503,1.7314
16,128,3,45,14,33.0744,35.6215,35.8604,1.7299,33.0531,35.6210,35.8656,1.7306
16,128,2,45,14,33.0867,35.6312,35.8733,1.7295,33.0245,35.6293,35.8707,1.7329
16,256,4,45,14,32.9454,35.5843,35.8276,1.7334,33.0131,35.5812,35.8251,1.7257
16,256,3,45,14,33.0509,35.6091,35.8503,1.7316,33.0191,35.6075,35.8452,1.7322
16,256,2,45,14,32.9975,35.6309,35.8759,1.7316,33.0707,35.6308,35.8733,1.7329
16,512,4,45,14,33.0292,35.5328,35.7736,1.7308,32.9860,35.5357,35.7760,1.7266
16,512,3,45,14,32.9961,35.5868,35.8301,1.7271,32.9724,35.5851,35.8301,1.7268
16,512,2,45,14,32.9996,35.6265,35.8681,1.7266,33.1467,35.6282,35.8733,1.7242
16,1024,4,45,14,32.8220,35.4519,35.6962,1.7310,32.8720,35.4512,35.6939,1.7315
16,1024,3,45,14,32.9400,35.5445,35.7881,1.7292,32.9818,35.5435,35.7857,1.7330
16,1024,2,45,14,32.9769,35.6197,35.8630,1.7267,32.8902,35.6226,35.8656,1.7274
16,2048,4,45,14,32.6574,35.3035,35.5467,1.7266,32.6954,35.3049,35.5467,1.7270
16,2048,3,45,14,32.8241,35.4659,35.7100,1.7268,32.8898,35.4644,35.7054,1.7193
16,2048,2,45,14,32.9742,35.6135,35.8579,1.7323,32.9655,35.6060,35.8477,1.7280
16,4096,4,45,14,32.4294,35.0810,35.3293,1.7268,32.3422,35.0818,35.3276,1.7219
16,4096,3,45,14,32.6937,35.3269,35.5695,1.7286,32.8276,35.3296,35.5737,1.7241
16,4096,2,45,14,32.9621,35.5877,35.8276,1.7266,32.9631,35.5858,35.8251,1.7257
16,8192,4,45,14,32.1451,34.7729,35.0199,1.7292,31.9876,34.7717,35.0213,1.7264
16,8192,3,45,14,32.5840,35.1161,35.3598,1.7253,32.5117,35.1151,35.3598,1.7272
16,8192,2,45,14,32.9316,35.5442,35.7857,1.7341,32.9519,35.5475,35.7857,1.7254
16,16384,4,45,14,31.5856,34.3912,34.6446,1.7218,31.5993,34.3940,34.6469,1.7233
16,16384,3,45,14,32.0744,34.8149,35.0604,1.7202,32.1269,34.8188,35.0678,1.7265
16,16384,2,45,14,32.9229,35.4691,35.7123,1.7287,32.9066,35.4696,35.7123,1.7289
16,32768,4,45,14,31.2287,33.9624,34.2170,1.7230,31.3354,33.9598,34.2129,1.7240
16,32768,3,45,14,31.6390,34.4457,34.6939,1.7244,31.8123,34.4449,34.6905,1.7236
16,32768,2,45,14,32.7539,35.3325,35.5758,1.7274,32.8022,35.3323,35.5737,1.7245
