LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,4,45,14,39.5374,42.4279,42.6953,1.7224,53.1508,53.1508,53.1508,+Inf
16,32,3,45,14,38.9706,41.9866,42.3236,1.7775,53.1508,53.1508,53.1508,+Inf
16,32,2,45,14,36.7606,39.8783,40.4041,1.9285,53.1508,53.1508,53.1508,+Inf
16,64,4,45,14,39.2870,41.9847,42.2273,1.7044,53.1508,53.1508,53.1508,+Inf
16,64,3,45,14,38.7956,41.6812,41.9475,1.7207,53.1508,53.1508,53.1508,+Inf
16,64,2,45,14,36.5713,39.8578,40.3683,1.9159,53.1508,53.1508,53.1508,+Inf
16,128,4,45,14,38.9461,41.5254,41.7593,1.6981,53.1508,53.1508,53.1508,+Inf
16,128,3,45,14,38.6152,41.4543,41.7189,1.7218,53.1508,53.1508,53.1508,+Inf
16,128,2,45,14,36.7498,39.8254,40.3083,1.8910,53.1508,53.1508,53.1508,+Inf
16,256,4,45,14,38.6169,41.1664,41.4007,1.6995,53.1508,53.1508,53.1508,+Inf
16,256,3,45,14,38.4356,41.0128,41.2554,1.7062,53.1508,53.1508,53.1508,+Inf
16,256,2,45,14,36.6658,39.7429,40.1676,1.8459,53.1508,53.1508,53.1508,+Inf
16,512,4,45,14,37.9850,40.6704,40.9100,1.7066,53.1508,53.1508,53.1508,+Inf
16,512,3,45,14,37.5785,40.4450,40.6909,1.7066,53.1508,53.1508,53.1508,+Inf
16,512,2,45,14,36.6123,39.6326,40.0028,1.8065,53.1508,53.1508,53.1508,+Inf
16,1024,4,45,14,37.3019,40.1401,40.3790,1.7058,53.1508,53.1508,53.1508,+Inf
16,1024,3,45,14,37.3532,40.0773,40.3212,1.7043,53.1508,53.1508,53.1508,+Inf
16,1024,2,45,14,36.2576,39.4228,39.7270,1.7520,53.1508,53.1508,53.1508,+Inf
16,2048,4,45,14,37.0069,39.6297,39.8737,1.7094,53.1508,53.1508,53.1508,+Inf
16,2048,3,45,14,37.0120,39.6047,39.8519,1.7123,53.1508,53.1508,53.1508,+Inf
16,2048,2,45,14,36.3431,39.1749,39.4521,1.7357,53.1508,53.1508,53.1508,+Inf
16,4096,4,45,14,36.5252,39.0720,39.3041,1.6975,53.1508,53.1508,53.1508,+Inf
16,4096,3,45,14,36.5125,39.0887,39.3218,1.6976,53.1508,53.1508,53.1508,+Inf
16,4096,2,45,14,36.1072,38.9100,39.1640,1.7146,53.1508,53.1508,53.1508,+Inf
16,8192,4,45,14,36.0703,38.6268,38.8647,1.7032,53.1508,53.1508,53.1508,+Inf
16,8192,3,45,14,36.1200,38.6647,38.8975,1.7008,53.1508,53.1508,53.1508,+Inf
16,8192,2,45,14,35.7795,38.4980,38.7360,1.7028,53.1508,53.1508,53.1508,+Inf
16,16384,4,45,14,35.6557,38.1691,38.3977,1.6984,53.1508,53.1508,53.1508,+Inf
16,16384,3,45,14,35.5781,38.1265,38.3494,1.6913,53.1508,53.1508,53.1508,+Inf
16,16384,2,45,14,35.3354,38.0205,38.2613,1.7054,53.1508,53.1508,53.1508,+Inf
16,32768,4,45,14,34.9375,37.6474,37.8853,1.7041,53.1508,53.1508,53.1508,+Inf
16,32768,3,45,14,34.9393,37.6616,37.9240,1.7224,53.1508,53.1508,53.1508,+Inf
16,32768,2,45,14,35.0319,37.5983,37.8337,1.7010,53.1508,53.1508,53.1508,+Inf
