LogN,H,Depth,LogScale,LogSlots,MIN,AVG,STD,MIN,AVG,STD
16,32,4,45,15,40.7468,43.3067,4.0504,40.6082,43.3043,4.0612
16,32,3,45,15,39.8650,42.4171,7.5108,39.9061,42.4159,7.5184
16,64,4,45,15,40.3202,43.0135,4.9626,40.3899,43.0140,4.9635
16,64,3,45,15,39.7187,42.3179,8.0452,39.5438,42.3203,8.0259
16,128,4,45,15,40.0922,42.6456,6.4040,39.9630,42.6449,6.4086
16,128,3,45,15,39.5003,42.1601,8.9786,39.6221,42.1596,8.9825
16,256,4,45,15,39.6937,42.2277,8.5646,39.6760,42.2202,8.6060
16,256,3,45,15,39.4152,41.9127,10.6606,39.3318,41.9144,10.6411
16,512,4,45,15,39.1136,41.7643,11.8050,39.1720,41.7654,11.7900
16,512,3,45,15,38.9482,41.5879,13.3381,38.9972,41.5900,13.3227
16,1024,4,45,15,38.7120,41.2857,16.4520,38.6489,41.2858,16.4469
16,1024,3,45,15,38.6624,41.1955,17.5138,38.6950,41.1915,17.5578
16,2048,4,45,15,38.2148,40.8009,23.0230,38.3042,40.7999,23.0259
16,2048,3,45,15,38.0251,40.7537,23.7857,38.1600,40.7473,23.8893
16,4096,4,45,15,37.7369,40.3027,32.5308,37.7044,40.3043,32.4761
16,4096,3,45,15,37.7433,40.2836,32.9374,37.6408,40.2851,32.9114
16,8192,4,45,15,37.2457,39.8086,45.8222,37.2749,39.8079,45.8073
16,8192,3,45,15,37.2017,39.7992,46.1029,37.2364,39.8027,45.9539
16,16384,4,45,15,36.5156,39.3134,64.5709,36.7874,39.3093,64.7234
16,16384,3,45,15,36.6972,39.3131,64.6195,36.7415,39.3048,64.9550
16,32768,4,45,15,36.2117,38.8044,91.9538,36.2926,38.8090,91.5895
16,32768,3,45,15,36.1619,38.8133,91.2979,36.2852,38.8117,91.3953
