H,MIN,AVG,STD
32,-4.3219,-1.6927,2.0261
32,-5.1293,-2.5827,2.9102
64,-4.7004,-1.9814,2.3116
64,-5.3219,-2.6765,3.0043
128,-5.0000,-2.3533,2.6822
128,-5.5236,-2.8405,3.1680
256,-5.4263,-2.7764,3.1032
256,-5.6724,-3.0858,3.4134
512,-5.8580,-3.2353,3.5611
512,-6.0875,-3.4115,3.7376
1024,-6.4263,-3.7092,4.0350
1024,-6.5236,-3.8058,4.1317
2048,-6.8704,-4.2008,4.5266
2048,-6.9887,-4.2479,4.5740
4096,-7.4429,-4.6945,5.0203
4096,-7.3923,-4.7178,5.0434
8192,-7.8202,-5.1938,5.5202
8192,-7.8265,-5.2002,5.5257
16384,-8.4471,-5.6898,6.0152
16384,-8.2854,-5.6931,6.0188
32768,-8.8826,-6.1914,6.5173
32768,-8.8041,-6.1904,6.5156
