H,Depth,MIN,AVG,STD,Estimation
32,15,-4.16993,-1.52612,1.86112,1.85581
32,14,-4.16993,-1.47846,1.81448,1.80909
32,13,-4.08746,-1.43740,1.77350,1.76931
32,12,-4.00000,-1.40316,1.73851,1.73296
32,11,-3.90689,-1.36975,1.70695,1.70070
32,10,-3.90689,-1.34142,1.67906,1.67349
32,9,-4.08746,-1.32268,1.65940,1.65298
32,8,-3.90689,-1.32050,1.65774,1.65029
32,7,-3.90689,-1.34394,1.68061,1.67565
32,6,-3.90689,-1.34833,1.68513,1.68026
32,5,-4.08746,-1.44756,1.78255,1.78002
32,4,-4.39232,-1.69303,2.02574,2.02080
32,3,-5.16993,-2.58099,2.90954,2.90720
32,2,-7.70044,-5.09925,5.42557,5.42358
64,15,-4.75489,-2.01052,2.34038,2.33818
64,14,-4.52356,-1.96376,2.29469,2.29207
64,13,-4.52356,-1.92376,2.25431,2.25105
64,12,-4.64386,-1.88570,2.21674,2.21323
64,11,-4.45943,-1.85018,2.18192,2.17890
64,10,-4.45943,-1.81998,2.15151,2.14865
64,9,-4.52356,-1.79467,2.12680,2.12354
64,8,-4.39232,-1.78405,2.11545,2.11407
64,7,-4.52356,-1.80569,2.13705,2.13455
64,6,-4.32193,-1.79134,2.12381,2.11879
64,5,-4.39232,-1.84509,2.17604,2.17319
64,4,-4.64386,-1.98483,2.31522,2.31236
64,3,-5.28540,-2.67625,3.00436,3.00612
64,2,-7.64386,-5.10106,5.42679,5.42707
128,15,-5.04439,-2.50226,2.83054,2.82920
128,14,-5.04439,-2.45468,2.78281,2.78351
128,13,-5.16993,-2.41214,2.74062,2.74178
128,12,-5.04439,-2.37523,2.70341,2.70315
128,11,-5.04439,-2.33888,2.66855,2.66772
128,10,-4.85798,-2.30709,2.63558,2.63583
128,9,-4.90689,-2.28291,2.61224,2.60846
128,8,-4.90689,-2.26867,2.59801,2.59531
128,7,-4.90689,-2.28749,2.61672,2.61310
128,6,-4.90689,-2.26013,2.58953,2.58574
128,5,-4.90689,-2.28479,2.61395,2.61365
128,4,-5.00000,-2.35254,2.68107,2.67844
128,3,-5.39232,-2.84119,3.16927,3.16680
128,2,-7.74147,-5.10795,5.43485,5.43619
256,15,-5.70044,-2.99900,3.32560,3.32467
256,14,-5.55459,-2.95332,3.28010,3.27916
256,13,-5.58496,-2.91210,3.23920,3.23711
256,12,-5.61471,-2.86792,3.19530,3.19803
256,11,-5.49185,-2.83471,3.16212,3.16202
256,10,-5.58496,-2.80358,3.13106,3.12934
256,9,-5.35755,-2.77406,3.10182,3.10080
256,8,-5.45943,-2.75629,3.08416,3.08571
256,7,-5.35755,-2.77620,3.10445,3.10234
256,6,-5.42626,-2.74112,3.06894,3.06864
256,5,-5.35755,-2.75717,3.08455,3.08196
256,4,-5.35755,-2.77546,3.10299,3.10218
256,3,-5.61471,-3.08674,3.41373,3.41031
256,2,-7.76155,-5.12159,5.44774,5.44588
512,15,-6.14975,-3.49749,3.82364,3.82238
512,14,-6.16993,-3.45078,3.77752,3.77696
512,13,-6.06609,-3.40779,3.73380,3.73475
512,12,-5.95420,-3.36710,3.69337,3.69547
512,11,-6.04439,-3.33098,3.65734,3.65918
512,10,-5.97728,-3.29899,3.62540,3.62609
512,9,-5.88264,-3.27069,3.59779,3.59694
512,8,-6.02237,-3.25423,3.58046,3.58087
512,7,-5.88264,-3.27244,3.59865,3.59680
512,6,-5.93074,-3.23337,3.55990,3.55997
512,5,-5.80735,-3.23933,3.56665,3.56541
512,4,-5.90689,-3.23323,3.55953,3.56027
512,3,-6.14975,-3.41114,3.73800,3.73677
512,2,-7.76818,-5.14666,5.47193,5.47047
1024,15,-6.65821,-3.99388,4.32058,4.32124
1024,14,-6.59991,-3.95189,4.27713,4.27587
1024,13,-6.59991,-3.90750,4.23345,4.23357
1024,12,-6.49185,-3.86703,4.19267,4.19418
1024,11,-6.42626,-3.83292,4.15925,4.15775
1024,10,-6.44294,-3.79909,4.12524,4.12446
1024,9,-6.45943,-3.77053,4.09639,4.09498
1024,8,-6.40939,-3.75031,4.07733,4.07844
1024,7,-6.37504,-3.77035,4.09623,4.09403
1024,6,-6.45943,-3.72876,4.05473,4.05559
1024,5,-6.32193,-3.73169,4.05817,4.05711
1024,4,-6.39232,-3.71339,4.03942,4.03837
1024,3,-6.39232,-3.81049,4.13577,4.13269
1024,2,-7.74819,-5.18747,5.51352,5.51274
2048,15,-7.19967,-4.49481,4.82037,4.82067
2048,14,-7.04439,-4.45055,4.77598,4.77532
2048,13,-7.05528,-4.40467,4.73118,4.73298
2048,12,-6.89482,-4.36882,4.69422,4.69354
2048,11,-6.95420,-4.33183,4.65763,4.65704
2048,10,-6.84549,-4.29530,4.62078,4.62364
2048,9,-6.87036,-4.27022,4.59604,4.59402
2048,8,-6.78136,-4.24928,4.57509,4.57723
2048,7,-6.87036,-4.26932,4.59456,4.59264
2048,6,-6.93074,-4.22569,4.55168,4.55338
2048,5,-6.83289,-4.22717,4.55273,4.55289
2048,4,-6.91886,-4.20021,4.52666,4.52717
2048,3,-6.97728,-4.24874,4.57496,4.57415
2048,2,-7.94251,-5.27316,5.59915,5.59791
4096,15,-7.61471,-4.99485,5.32085,5.32038
4096,14,-7.53916,-4.94734,5.27345,5.27505
4096,13,-7.53916,-4.90516,5.23152,5.23269
4096,12,-7.63662,-4.86724,5.19315,5.19322
4096,11,-7.57743,-4.82968,5.15577,5.15668
4096,10,-7.67948,-4.79667,5.12254,5.12323
4096,9,-7.31288,-4.76554,5.09063,5.09353
4096,8,-7.48382,-4.75210,5.07768,5.07662
4096,7,-7.44294,-4.76807,5.09316,5.09195
4096,6,-7.44294,-4.72434,5.05037,5.05228
4096,5,-7.31288,-4.72620,5.05232,5.05078
4096,4,-7.29462,-4.69563,5.02112,5.02156
4096,3,-7.43463,-4.71563,5.04188,5.04236
4096,2,-8.06609,-5.41658,5.74206,5.74083
8192,15,-8.08215,-5.49391,5.81880,5.82024
8192,14,-8.08215,-5.44869,5.77393,5.77491
8192,13,-8.06609,-5.40497,5.73073,5.73254
8192,12,-7.96000,-5.36736,5.69274,5.69306
8192,11,-8.07682,-5.33114,5.65716,5.65650
8192,10,-7.90689,-5.29747,5.62393,5.62303
8192,9,-7.91886,-5.26675,5.59287,5.59328
8192,8,-7.91886,-5.25144,5.57667,5.57631
8192,7,-7.93074,-5.26488,5.59082,5.59160
8192,6,-7.81378,-5.22578,5.55107,5.55173
8192,5,-7.91289,-5.22327,5.54861,5.54972
8192,4,-7.85798,-5.19332,5.51907,5.51871
8192,3,-7.78790,-5.19971,5.52537,5.52620
8192,2,-8.29002,-5.63398,5.96038,5.96257
16384,15,-8.65105,-5.99425,6.32005,6.32017
16384,14,-8.60733,-5.95061,6.27685,6.27484
16384,13,-8.74819,-5.90603,6.23187,6.23246
16384,12,-8.52356,-5.86472,6.19052,6.19297
16384,11,-8.48382,-5.83085,6.15569,6.15641
16384,10,-8.45943,-5.79808,6.12413,6.12292
16384,9,-8.43879,-5.76784,6.09364,6.09316
16384,8,-8.37069,-5.74629,6.07199,6.07616
16384,7,-8.35755,-5.76609,6.09154,6.09143
16384,6,-8.44294,-5.72836,6.05419,6.05145
16384,5,-8.33539,-5.72035,6.04617,6.04918
