H,Depth,MIN,AVG,STD,Estimation
32,15,-4.08746,-1.52503,1.86019,1.85583
32,14,-4.08746,-1.47845,1.81331,1.80913
32,13,-4.16993,-1.43883,1.77422,1.76931
32,12,-4.00000,-1.40109,1.73748,1.73299
32,11,-3.90689,-1.36728,1.70348,1.70095
32,10,-4.16993,-1.34071,1.67819,1.67354
32,9,-3.90689,-1.32073,1.65751,1.65292
32,8,-4.08746,-1.31799,1.65608,1.65019
32,7,-4.00000,-1.34348,1.68029,1.67546
32,6,-4.00000,-1.34594,1.68333,1.68011
32,5,-4.08746,-1.45101,1.78695,1.77965
32,4,-4.24793,-1.69275,2.02580,2.02127
32,3,-5.20945,-2.58028,2.90855,2.90668
32,2,-7.70736,-5.09642,5.42190,5.42238
64,15,-4.70044,-2.00889,2.33940,2.33821
64,14,-4.70044,-1.96269,2.29284,2.29214
64,13,-4.52356,-1.92401,2.25468,2.25110
64,12,-4.45943,-1.88403,2.21508,2.21318
64,11,-4.45943,-1.84949,2.18062,2.17895
64,10,-4.52356,-1.81829,2.15026,2.14857
64,9,-4.45943,-1.79540,2.12694,2.12357
64,8,-4.45943,-1.78622,2.11809,2.11419
64,7,-4.52356,-1.80580,2.13758,2.13443
64,6,-4.39232,-1.78733,2.11943,2.11842
64,5,-4.39232,-1.84398,2.17541,2.17294
64,4,-4.58496,-1.98473,2.31489,2.31014
64,3,-5.32193,-2.67766,3.00482,3.00539
64,2,-7.62936,-5.09812,5.42484,5.42975
128,15,-5.12928,-2.50147,2.82957,2.82918
128,14,-5.28540,-2.45382,2.78246,2.78352
128,13,-5.04439,-2.41640,2.74387,2.74181
128,12,-4.95420,-2.37605,2.70429,2.70311
128,11,-4.90689,-2.34083,2.66912,2.66770
128,10,-4.90689,-2.30818,2.63709,2.63583
128,9,-5.04439,-2.28055,2.60890,2.60854
128,8,-4.90689,-2.26988,2.59837,2.59519
128,7,-4.90689,-2.28550,2.61435,2.61319
128,6,-4.95420,-2.25721,2.58619,2.58570
128,5,-4.95420,-2.28520,2.61456,2.61387
128,4,-5.04439,-2.35030,2.67907,2.67865
128,3,-5.52356,-2.84077,3.16890,3.16777
128,2,-7.65821,-5.10776,5.43298,5.43257
256,15,-5.52356,-2.99801,3.32436,3.32465
256,14,-5.67243,-2.95175,3.27960,3.27914
256,13,-5.49185,-2.90934,3.23751,3.23711
256,12,-5.45943,-2.87071,3.19793,3.19802
256,11,-5.45943,-2.83846,3.16519,3.16202
256,10,-5.52356,-2.80267,3.12984,3.12937
256,9,-5.42626,-2.77288,3.10058,3.10084
256,8,-5.39232,-2.75878,3.08603,3.08573
256,7,-5.49185,-2.78215,3.10881,3.10233
256,6,-5.42626,-2.73996,3.06786,3.06863
256,5,-5.39232,-2.75526,3.08211,3.08197
256,4,-5.55459,-2.77619,3.10258,3.10246
256,3,-5.67243,-3.08479,3.41171,3.41185
256,2,-7.67243,-5.11988,5.44506,5.44387
512,15,-6.16993,-3.49605,3.82274,3.82238
512,14,-6.00000,-3.44886,3.77575,3.77696
512,13,-6.02237,-3.40462,3.73173,3.73475
512,12,-6.02237,-3.36956,3.69603,3.69547
512,11,-6.04439,-3.33443,3.66066,3.65918
512,10,-5.93074,-3.29877,3.62529,3.62611
512,9,-5.97728,-3.27195,3.59824,3.59692
512,8,-5.85798,-3.25229,3.57930,3.58088
512,7,-5.93074,-3.27167,3.59756,3.59681
512,6,-5.83289,-3.23560,3.56165,3.55996
512,5,-5.90689,-3.23732,3.56374,3.56554
512,4,-5.93074,-3.23807,3.56421,3.56032
512,3,-6.18982,-3.40972,3.73704,3.73814
512,2,-7.70736,-5.14551,5.47149,5.46555
1024,15,-6.70044,-3.99490,4.32127,4.32124
1024,14,-6.64386,-3.95043,4.27578,4.27587
1024,13,-6.45943,-3.90757,4.23312,4.23357
1024,12,-6.49185,-3.86788,4.19367,4.19418
1024,11,-6.44294,-3.83366,4.15973,4.15775
1024,10,-6.42626,-3.79877,4.12477,4.12446
1024,9,-6.32193,-3.76733,4.09332,4.09499
1024,8,-6.39232,-3.75100,4.07778,4.07845
1024,7,-6.33985,-3.76730,4.09335,4.09403
1024,6,-6.33985,-3.73127,4.05686,4.05559
