LogN,H,Depth,LogScale,LogSlots,MIN,AVG,MED,STD,MIN,AVG,MED,STD
16,32,4,45,15,32.9756,35.6217,35.8630,1.7334,32.9982,35.6223,35.8630,1.7253
16,32,3,45,15,33.0120,35.6330,35.8759,1.7317,32.9563,35.6313,35.8733,1.7293
16,32,2,45,15,33.0159,35.6338,35.8759,1.7356,32.9105,35.6331,35.8759,1.7324
16,64,4,45,15,32.9673,35.6094,35.8528,1.7258,32.9867,35.6095,35.8503,1.7293
16,64,3,45,15,32.9954,35.6276,35.8707,1.7308,33.0480,35.6276,35.8681,1.7306
16,64,2,45,15,33.0117,35.6328,35.8759,1.7304,32.8830,35.6331,35.8759,1.7304
16,128,4,45,15,32.8895,35.5857,35.8276,1.7294,32.8617,35.5862,35.8301,1.7329
16,128,3,45,15,32.9686,35.6230,35.8630,1.7293,33.0049,35.6211,35.8630,1.7310
16,128,2,45,15,32.8595,35.6313,35.8707,1.7344,33.0516,35.6311,35.8733,1.7282
16,256,4,45,15,32.8414,35.5411,35.7833,1.7320,32.9125,35.5401,35.7808,1.7308
16,256,3,45,15,32.9570,35.6114,35.8553,1.7290,32.9832,35.6092,35.8528,1.7281
16,256,2,45,15,33.0170,35.6284,35.8707,1.7225,33.0811,35.6282,35.8707,1.7295
16,512,4,45,15,32.8576,35.4594,35.7054,1.7281,32.7485,35.4621,35.7054,1.7322
16,512,3,45,15,32.9693,35.5883,35.8301,1.7251,32.8204,35.5898,35.8301,1.7318
16,512,2,45,15,32.9979,35.6234,35.8630,1.7286,33.0285,35.6248,35.8681,1.7301
16,1024,4,45,15,32.7140,35.3219,35.5675,1.7257,32.5866,35.3219,35.5675,1.7258
16,1024,3,45,15,32.8499,35.5456,35.7881,1.7273,32.8837,35.5445,35.7905,1.7350
16,1024,2,45,15,32.9877,35.6107,35.8528,1.7328,33.0078,35.6116,35.8528,1.7313
16,2048,4,45,15,32.3329,35.1065,35.3543,1.7296,32.3577,35.1077,35.3579,1.7292
16,2048,3,45,15,32.9312,35.4654,35.7077,1.7293,32.7126,35.4650,35.7077,1.7236
16,2048,2,45,15,32.9275,35.5895,35.8326,1.7331,32.9519,35.5896,35.8326,1.7270
16,4096,4,45,15,32.0800,34.8096,35.0663,1.7296,31.9096,34.8100,35.0663,1.7353
16,4096,3,45,15,32.7500,35.3282,35.5695,1.7265,32.6271,35.3294,35.5737,1.7320
16,4096,2,45,15,32.8840,35.5484,35.7905,1.7298,32.9102,35.5446,35.7857,1.7317
16,8192,4,45,15,31.5203,34.4355,34.6985,1.7317,31.5803,34.4359,34.6985,1.7347
16,8192,3,45,15,32.3936,35.1155,35.3616,1.7288,32.1310,35.1134,35.3579,1.7289
16,8192,2,45,15,32.8997,35.4683,35.7100,1.7280,32.6798,35.4692,35.7100,1.7302
16,16384,4,45,15,31.1904,34.0072,34.2763,1.7317,31.2301,34.0098,34.2798,1.7343
16,16384,3,45,15,32.1788,34.8199,35.0678,1.7243,32.2205,34.8187,35.0648,1.7194
16,16384,2,45,15,32.6554,35.3350,35.5758,1.7232,32.6834,35.3348,35.5779,1.7295
16,32768,4,45,15,30.6633,33.5507,33.8213,1.7354,30.7512,33.5494,33.8207,1.7378
16,32768,3,45,15,31.7245,34.4447,34.6939,1.7178,31.6613,34.4436,34.6917,1.7258
16,32768,2,45,15,32.2890,35.1248,35.3652,1.7182,32.5129,35.1236,35.3652,1.7249
