LogN,H,Depth,LogScale,LogSlots,MIN,AVG,STD,MIN,AVG,STD
16,32,4,45,15,33.0730,35.6216,833.7841,33.0349,35.6214,833.9754
16,32,3,45,15,33.1549,35.6329,827.9142,33.0579,35.6310,828.3270
16,32,2,45,15,33.0516,35.6287,830.5378,33.1181,35.6318,828.0957
16,64,4,45,15,33.0920,35.6107,840.5571,32.9112,35.6138,839.2894
16,64,3,45,15,33.0905,35.6291,829.9329,33.1479,35.6310,828.8750
16,64,2,45,15,32.9832,35.6291,829.1796,33.1794,35.6330,827.6579
16,128,4,45,15,32.9454,35.5840,856.1499,33.0303,35.5882,853.8335
16,128,3,45,15,33.0730,35.6193,834.8636,33.1090,35.6224,834.3154
16,128,2,45,15,32.9968,35.6343,827.1716,33.1467,35.6287,829.4139
16,256,4,45,15,32.9135,35.5417,881.5945,32.8824,35.5430,881.7107
16,256,3,45,15,33.1292,35.6106,840.5626,33.0890,35.6102,840.4708
16,256,2,45,15,32.9532,35.6289,829.4857,33.1350,35.6302,829.6576
16,512,4,45,15,32.7326,35.4606,931.6787,32.7985,35.4609,933.1904
16,512,3,45,15,32.9745,35.5875,853.4422,33.0796,35.5916,852.0924
16,512,2,45,15,33.0306,35.6246,832.6820,33.0575,35.6276,831.7481
16,1024,4,45,15,32.7485,35.3193,1030.1700,32.7503,35.3196,1029.4880
16,1024,3,45,15,33.0414,35.5426,881.0623,33.0071,35.5463,879.3928
16,1024,2,45,15,33.1052,35.6144,838.6138,32.9700,35.6098,841.0291
16,2048,4,45,15,32.3961,35.1082,1194.3745,32.4059,35.1110,1193.8637
16,2048,3,45,15,32.8921,35.4627,930.9944,32.9916,35.4672,929.3789
16,2048,2,45,15,33.0199,35.5929,851.3555,33.0560,35.5884,853.3551
16,4096,4,45,15,32.0416,34.8051,1477.7671,32.1545,34.8072,1477.8173
16,4096,3,45,15,32.7748,35.3296,1022.1329,32.6071,35.3279,1022.5777
16,4096,2,45,15,32.9522,35.5445,878.8635,33.0004,35.5479,877.7431
16,8192,4,45,15,31.6947,34.4388,1911.4471,31.6331,34.4351,1915.3571
16,8192,3,45,15,32.6680,35.1173,1184.7924,32.4529,35.1159,1185.5724
16,8192,2,45,15,32.9652,35.4663,928.9273,32.9125,35.4675,928.0424
16,16384,4,45,15,31.1799,34.0082,2582.3825,31.0644,34.0060,2586.6404
16,16384,3,45,15,32.2813,34.8207,1456.7601,32.0615,34.8159,1460.5667
16,16384,2,45,15,32.8499,35.3349,1017.0741,32.7077,35.3367,1016.1443
16,32768,4,45,15,30.7728,33.5482,3550.3246,30.7207,33.5484,3552.8150
16,32768,3,45,15,31.5050,34.4443,1891.8042,31.9234,34.4465,1889.6446
16,32768,2,45,15,32.4052,35.1216,1179.5944,32.4850,35.1274,1176.0469
