H,MIN,AVG,STD
32,-11.9425,-9.3768,9.7032
32,-11.9370,-9.3668,9.6922
64,-11.9708,-9.3904,9.7164
64,-12.0674,-9.3725,9.6981
128,-12.0189,-9.4135,9.7399
128,-11.9513,-9.3766,9.7029
256,-12.1228,-9.4564,9.7833
256,-11.9890,-9.3884,9.7139
512,-12.1997,-9.5389,9.8658
512,-11.9926,-9.4133,9.7392
1024,-12.4019,-9.6796,10.0074
1024,-12.0109,-9.4528,9.7785
2048,-12.7561,-9.8938,10.2241
2048,-12.1858,-9.5348,9.8612
4096,-12.9103,-10.1923,10.5269
4096,-12.3304,-9.6707,9.9965
8192,-13.2690,-10.5642,10.9030
8192,-12.4333,-9.8853,10.2131
16384,-13.6624,-10.9942,11.3353
16384,-12.7360,-10.1797,10.5091
32768,-14.3532,-11.4519,11.7950
32768,-13.2375,-10.5546,10.8838
