H,Depth,MIN,AVG,STD,Estimation
32,15,-11.99506,-8.63782,9.04635,9.06016
32,14,-12.12606,-8.63289,9.04024,9.05556
32,13,-12.08281,-8.63419,9.04222,9.05582
32,12,-12.28742,-8.63373,9.04156,9.05549
32,11,-12.02998,-8.63555,9.04293,9.05477
32,10,-12.05393,-8.62961,9.03732,9.05110
32,9,-12.16554,-8.61116,9.02311,9.03645
32,8,-11.88988,-8.53792,8.96208,8.97507
32,7,-11.86921,-8.43690,8.86665,8.88074
32,6,-11.98121,-8.43724,8.86702,8.87982
32,5,-11.86380,-8.36415,8.80768,8.82275
32,4,-11.91551,-8.35909,8.80639,8.81781
32,3,-11.85953,-8.31216,8.77021,8.78399
32,2,-11.93884,-8.30202,8.76328,8.77491
64,15,-12.84451,-9.10732,9.52158,9.53077
64,14,-12.72195,-9.10597,9.52086,9.52833
64,13,-12.47978,-9.10683,9.52050,9.52845
64,12,-12.62091,-9.10728,9.52074,9.52826
64,11,-12.56057,-9.10747,9.52142,9.52732
64,10,-12.56224,-9.10085,9.51701,9.52367
64,9,-12.73429,-9.08208,9.50197,9.50870
64,8,-12.47040,-9.00852,9.44021,9.44570
64,7,-12.47573,-8.90190,9.34316,9.35047
64,6,-12.34734,-8.90114,9.34076,9.34951
64,5,-12.56296,-8.82715,9.28260,9.29070
64,4,-12.32755,-8.82098,9.27844,9.28672
64,3,-12.45327,-8.77373,9.24702,9.25224
64,2,-12.43957,-8.75652,9.23394,9.24344
128,15,-13.33818,-9.59637,10.01472,10.01557
128,14,-12.92815,-9.59603,10.01498,10.01433
128,13,-13.12283,-9.59371,10.01200,10.01439
128,12,-13.09737,-9.59438,10.01231,10.01414
128,11,-13.12024,-9.58898,10.00668,10.01322
128,10,-13.15260,-9.59104,10.01117,10.00951
128,9,-13.28077,-9.56433,9.98902,9.99440
128,8,-12.95619,-9.48868,9.92636,9.93058
128,7,-13.33246,-9.38422,9.82956,9.83479
128,6,-12.93995,-9.38648,9.83151,9.83388
128,5,-13.03875,-9.30522,9.76861,9.77423
128,4,-12.83842,-9.29965,9.76489,9.77060
128,3,-12.77931,-9.25168,9.73219,9.73585
128,2,-13.06373,-9.23681,9.72235,9.72706
256,15,-13.61597,-10.08797,10.50789,10.50789
256,14,-13.68552,-10.08510,10.50554,10.50725
256,13,-13.78504,-10.08757,10.50781,10.50724
256,12,-13.54750,-10.08666,10.50646,10.50702
256,11,-13.60339,-10.08461,10.50448,10.50607
256,10,-13.44773,-10.08212,10.50372,10.50232
256,9,-13.48797,-10.05883,10.48475,10.48712
256,8,-13.71661,-9.98099,10.42174,10.42290
256,7,-13.34485,-9.87818,10.32612,10.32682
256,6,-13.75885,-9.87624,10.32403,10.32592
256,5,-13.48596,-9.79898,10.26520,10.26585
256,4,-13.65922,-9.79349,10.26141,10.26242
256,3,-13.45623,-9.73982,10.22419,10.22754
256,2,-13.56451,-9.72497,10.21577,10.21876
512,15,-14.03506,-10.58336,11.00368,11.00401
512,14,-14.35156,-10.58289,11.00236,11.00368
512,13,-14.11886,-10.58002,11.00146,11.00364
512,12,-14.01175,-10.58063,11.00056,11.00341
512,11,-14.11569,-10.58143,11.00303,11.00248
512,10,-14.14561,-10.57556,10.99938,10.99871
512,9,-14.15719,-10.55602,10.98334,10.98346
512,8,-14.26143,-10.47659,10.91723,10.91903
512,7,-14.16632,-10.37340,10.82253,10.82282
512,6,-13.86776,-10.37222,10.82145,10.82191
512,5,-13.82814,-10.29319,10.76005,10.76161
512,4,-13.95855,-10.28679,10.75699,10.75829
512,3,-13.91410,-10.23639,10.72408,10.72333
512,2,-13.89841,-10.21965,10.71481,10.71458
1024,15,-14.58918,-11.07923,11.50150,11.50206
1024,14,-14.63651,-11.08064,11.50264,11.50189
1024,13,-14.51447,-11.08045,11.50201,11.50183
1024,12,-14.50748,-11.07887,11.49983,11.50160
1024,11,-14.71102,-11.07969,11.50191,11.50066
1024,10,-14.61051,-11.07095,11.49359,11.49690
1024,9,-14.63226,-11.05125,11.47888,11.48162
1024,8,-14.68836,-10.97430,11.41626,11.41709
1024,7,-14.64853,-10.87173,11.32321,11.32081
1024,6,-14.36194,-10.87007,11.31917,11.31989
1024,5,-14.66534,-10.79096,11.26072,11.25949
1024,4,-14.57902,-10.78710,11.25865,11.25622
1024,3,-14.37924,-10.72944,11.21936,11.22123
1024,2,-14.39003,-10.71635,11.21183,11.21248
2048,15,-14.97777,-11.57849,12.00111,12.00109
2048,14,-15.51360,-11.58008,12.00096,12.00099
2048,13,-15.21261,-11.57862,12.00056,12.00093
2048,12,-15.21360,-11.57830,12.00091,12.00070
2048,11,-15.05146,-11.57460,11.99840,11.99976
2048,10,-15.11504,-11.57141,11.99410,11.99599
2048,9,-15.00637,-11.55297,11.98046,11.98070
2048,8,-14.94586,-11.47194,11.91270,11.91612
2048,7,-14.91835,-11.37285,11.82336,11.81980
2048,6,-15.19672,-11.36682,11.81657,11.81889
2048,5,-15.00571,-11.28835,11.75733,11.75842
2048,4,-14.87032,-11.28440,11.75714,11.75518
2048,3,-15.15995,-11.22980,11.71979,11.72017
2048,2,-14.78233,-11.21561,11.71221,11.71143
4096,15,-15.57344,-12.07841,12.50160,12.50060
4096,14,-15.58558,-12.07806,12.49973,12.50054
4096,13,-15.85119,-12.08017,12.50229,12.50048
4096,12,-15.56060,-12.08034,12.50230,12.50025
4096,11,-15.60197,-12.07751,12.49905,12.49931
4096,10,-15.63413,-12.07165,12.49327,12.49553
4096,9,-15.77461,-12.05515,12.48102,12.48024
4096,8,-15.63368,-11.97233,12.41490,12.41563
4096,7,-15.45082,-11.86943,12.31826,12.31930
4096,6,-15.66539,-11.86521,12.31593,12.31838
4096,5,-15.31943,-11.78719,12.25649,12.25789
4096,4,-15.30471,-11.78398,12.25684,12.25466
4096,3,-15.57961,-11.72887,12.21738,12.21964
4096,2,-15.45517,-11.71349,12.21211,12.21090
8192,15,-16.29640,-12.57722,12.99805,13.00035
8192,14,-16.04934,-12.57860,13.00071,13.00031
