H,Depth,MIN,AVG,STD,Estimation
32,15,-12.01646,-9.45869,9.78496,9.78268
32,14,-12.19353,-9.45565,9.78266,9.78098
32,13,-12.06878,-9.45541,9.78213,9.78101
32,12,-12.11016,-9.45545,9.78080,9.78104
32,11,-11.99081,-9.45627,9.78236,9.78071
32,10,-12.05359,-9.45332,9.77968,9.77938
32,9,-12.16239,-9.44944,9.77559,9.77407
32,8,-11.95892,-9.43053,9.75545,9.75258
32,7,-11.94983,-9.39755,9.72317,9.72181
32,6,-12.01646,-9.39436,9.72083,9.72153
32,5,-12.04097,-9.37948,9.70550,9.70418
32,4,-11.84941,-9.37856,9.70278,9.70281
32,3,-12.01123,-9.36709,9.69368,9.69303
32,2,-12.07948,-9.36680,9.69266,9.69049
64,15,-12.13411,-9.53071,9.85825,9.85965
64,14,-12.22430,-9.53205,9.85919,9.85814
64,13,-12.16930,-9.53294,9.86065,9.85822
64,12,-12.10624,-9.53186,9.85880,9.85810
64,11,-12.14530,-9.52986,9.85818,9.85747
64,10,-12.18053,-9.52812,9.85588,9.85519
64,9,-12.11277,-9.52074,9.84768,9.84577
64,8,-12.17835,-9.47778,9.80487,9.80692
64,7,-12.01262,-9.42562,9.75220,9.75070
64,6,-12.03926,-9.42513,9.75023,9.75015
64,5,-11.93884,-9.39292,9.71969,9.71704
64,4,-11.99117,-9.39330,9.71826,9.71483
64,3,-11.94361,-9.36978,9.69564,9.69601
64,2,-12.10852,-9.36777,9.69287,9.69122
128,15,-12.58871,-9.66260,9.99332,9.99269
128,14,-12.40328,-9.66272,9.99311,9.99141
128,13,-12.35204,-9.66108,9.99148,9.99141
128,12,-12.38100,-9.66262,9.99331,9.99121
128,11,-12.23242,-9.66278,9.99255,9.99024
128,10,-12.26180,-9.65692,9.98718,9.98640
128,9,-12.24407,-9.64254,9.97352,9.97077
128,8,-12.23572,-9.57709,9.90639,9.90479
128,7,-12.12767,-9.48054,9.80716,9.80521
128,6,-12.16428,-9.47695,9.80408,9.80423
128,5,-12.00562,-9.42073,9.74594,9.74202
128,4,-12.03170,-9.41249,9.73845,9.73822
128,3,-12.03549,-9.37591,9.70226,9.70187
128,2,-12.07648,-9.36931,9.69578,9.69266
256,15,-12.65955,-9.86625,10.20183,10.20205
256,14,-12.64273,-9.86983,10.20594,10.20109
256,13,-12.62685,-9.86500,10.20125,10.20104
256,12,-12.68278,-9.86582,10.20097,10.20071
256,11,-12.66133,-9.86483,10.20065,10.19929
256,10,-12.61033,-9.85520,10.19136,10.19356
256,9,-12.88855,-9.83075,10.16718,10.17008
256,8,-12.56819,-9.73345,10.06788,10.06782
256,7,-12.24020,-9.57809,9.90559,9.90321
256,6,-12.15545,-9.57722,9.90446,9.90161
256,5,-12.26825,-9.46146,9.78828,9.78957
256,4,-11.96253,-9.45874,9.78431,9.78291
256,3,-11.84588,-9.39112,9.71707,9.71349
256,2,-11.96362,-9.36974,9.69574,9.69556
512,15,-13.12848,-10.15421,10.49837,10.49640
512,14,-13.00860,-10.15118,10.49431,10.49574
512,13,-13.13170,-10.15172,10.49565,10.49564
512,12,-13.30235,-10.15421,10.49716,10.49518
512,11,-13.02410,-10.15150,10.49541,10.49328
512,10,-13.22807,-10.14275,10.48592,10.48564
512,9,-12.96272,-10.10944,10.45401,10.45425
512,8,-12.90501,-9.97252,10.31603,10.31290
512,7,-12.51397,-9.73522,10.06517,10.06656
512,6,-12.47599,-9.73628,10.06599,10.06396
512,5,-12.15419,-9.54925,9.87570,9.87613
