LogN,H,Depth,LogScale,LogSlots,MIN,AVG,STD,MIN,AVG,STD
16,32,1,45,15,-3.1699,-0.3610,1.6581,53.1508,53.1508,0.0000
16,64,1,45,15,-3.8074,-0.8714,2.3271,53.1508,53.1508,0.0000
16,128,1,45,15,-4.1699,-1.3768,3.2790,53.1508,53.1508,0.0000
16,256,1,45,15,-4.7549,-1.8793,4.6279,53.1508,53.1508,0.0000
16,512,1,45,15,-5.2095,-2.3805,6.5391,53.1508,53.1508,0.0000
16,1024,1,45,15,-5.7279,-2.8811,9.2419,53.1508,53.1508,0.0000
16,2048,1,45,15,-6.2095,-3.3816,13.0685,53.1508,53.1508,0.0000
16,4096,1,45,15,-6.7415,-3.8817,18.4779,53.1508,53.1508,0.0000
16,8192,1,45,15,-7.2574,-4.3815,26.1267,53.1508,53.1508,0.0000
16,16384,1,45,15,-7.7814,-4.8818,36.9535,53.1508,53.1508,0.0000
16,32768,1,45,15,-8.2808,-5.3819,52.2645,53.1508,53.1508,0.0000
